"","cfg_id","label","cardinality","ic","sb","total_runs","optimum_n","timeout_n","unsat_n","error_n","optimum_pct","mean_elapsed_s","median_elapsed_s","par2_s","mean_solve_s","mean_variables","mean_hard_clauses","mean_soft_clauses","mean_best_value","mean_similarity","mean_continuity","mean_overtime","std_best_value"
"","4","SN-both-ss","sorting-network","both","slot-service","150","100","9","41","0","66,7","39,4125","36,3108","2426,275","39,3082","44745,18","170411,1","3012,53","579,72","584,69","4,84","0,13","29,2817"
"","5","TOT-none-none","totalizer","none","none","150","103","6","41","0","68,7","36,2079","29,4914","2280,863","36,1187","12541,14","155299,4","2991,621","579,0874","584,1553","4,9417","0,1262","29,6344"
"","6","TOT-none-ss","totalizer","none","slot-service","150","102","7","41","0","68","35,85","30,3358","2328,378","35,7571","12943,21","157964,9","3003,049","579,5098","584,6275","5","0,1176","29,4675"
"","7","TOT-both-none","totalizer","both","none","150","102","7","41","0","68","37,2386","31,2523","2329,322","37,1312","17338,25","180613,2","3003,049","579,5098","584,6176","5","0,1078","29,4675"
"","8","TOT-both-ss","totalizer","both","slot-service","150","102","7","41","0","68","38,0419","32,3367","2329,869","37,9333","17339,31","180539,9","3002,863","579,5392","584,598","4,9608","0,098","29,422"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_20_5","1","ORIGINAL","sorting-network","none","none","150","86","15","49","0","57,3","57,9051","51,0559","3105,1989","57,8089","46968,4186","188058,2326","3641,4419","725,8023","733,0233","7,1744","0,0465","33,6161"
"","2","SN-none-ss","sorting-network","none","slot-service","150","85","16","49","0","56,7","55,6898","50,372","3151,5575","55,5924","47065,6353","189139,2118","3619,8","724,7176","731,9176","7,2","0","36,0015"
"","3","SN-both-none","sorting-network","both","none","149","85","15","49","0","57","67,5316","55,8172","3131,1422","67,4121","60933,2706","231161,6706","3609,9412","723,6588","730,9412","7,2588","0,0235","36,2785"
"","4","SN-both-ss","sorting-network","both","slot-service","150","86","15","49","0","57,3","65,6341","58,1111","3109,6302","65,5127","60970,1977","231247,1628","3603,3721","724,1395","731,1977","7,0116","0,0465","36,1884"
"","5","TOT-none-none","totalizer","none","none","150","88","13","49","0","58,7","55,7307","47,1944","3008,6953","55,6179","16130,8182","225648,6364","3610,0568","724,2955","731,7955","7,4205","0,0795","35,5169"
"","6","TOT-none-ss","totalizer","none","slot-service","150","88","13","49","0","58,7","58,0991","48,4977","3010,0848","57,9821","16512,8409","228265,5227","3609,5227","724,8523","732,0568","7,1591","0,0455","35,4999"
"","7","TOT-both-none","totalizer","both","none","150","87","14","49","0","58","61,1963","49,5981","3059,4938","61,0656","22423,4598","260278,8046","3610,2069","723,8506","731,023","7,1724","0","36,0783"
"","8","TOT-both-ss","totalizer","both","slot-service","150","87","14","49","0","58","58,5061","50,099","3057,9335","58,3733","22444,977","260480,3678","3612,5057","724,2529","731,6207","7,2874","0,0805","35,7206"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_25_4","1","ORIGINAL","sorting-network","none","none","200","151","8","41","0","75,5","41,3485","35,7251","1795,2181","41,25","39585,9934","165225,3642","3470,0331","589,0066","593,6225","4,5166","0,0993","29,2744"
"","2","SN-none-ss","sorting-network","none","slot-service","200","151","8","41","0","75,5","39,2961","36,3938","1793,6685","39,1943","39930,4834","167383,7881","3470,0331","589,0066","593,7086","4,649","0,053","29,2744"
"","3","SN-both-none","sorting-network","both","none","200","151","8","41","0","75,5","43,0508","39,5162","1796,5033","42,9321","49718,596","197223,7351","3470,0331","589,0066","593,5563","4,4636","0,0861","29,2744"
"","4","SN-both-ss","sorting-network","both","slot-service","200","150","9","41","0","75","42,1054","39,6323","1831,5791","41,9839","49826,5467","197777,04","3480,8667","589,38","593,92","4,4533","0,0867","29,0095"
"","5","TOT-none-none","totalizer","none","none","200","153","6","41","0","76,5","36,691","31,899","1720,0686","36,5851","14400,3137","183534,6209","3457,6078","588,7647","593,3725","4,5229","0,085","29,4249"
"","6","TOT-none-ss","totalizer","none","slot-service","200","152","7","41","0","76","36,7179","32,2653","1755,9056","36,6081","14789,4145","186328,6053","3468,3421","589,1118","593,8026","4,6118","0,0789","29,2062"
"","7","TOT-both-none","totalizer","both","none","200","152","7","41","0","76","37,7406","32,8387","1756,6829","37,6173","19150,9079","209013,0197","3468,3421","589,1118","593,7434","4,5592","0,0724","29,2062"
"","8","TOT-both-ss","totalizer","both","slot-service","200","152","7","41","0","76","38,5607","33,8378","1757,3061","38,4361","19155,9868","208982,0921","3468,2171","589,1316","593,6842","4,4868","0,0658","29,169"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_25_5","1","ORIGINAL","sorting-network","none","none","200","135","15","50","0","67,5","61,1851","53,0052","2381,2999","61,0694","54655,9704","226219,0074","4229,3481","738,4074","744,8296","6,3926","0,0296","34,2712"
"","2","SN-none-ss","sorting-network","none","slot-service","200","134","16","50","0","67","59,9047","54,0188","2416,1361","59,787","54883,6791","228014,403","4220,0075","737,8134","744,1791","6,3657","0","36,0057"
"","3","SN-both-none","sorting-network","both","none","197","132","15","50","0","67","70,8818","61,4459","2423,1289","70,7433","68636,9924","269729,9015","4198,8409","736,6212","743,0985","6,4621","0,0152","36,4529"
"","4","SN-both-ss","sorting-network","both","slot-service","199","133","16","50","0","66,8","68,1438","61,8959","2433,483","67,9979","68581,3383","269407,3835","4189,6917","737,1955","743,5414","6,3158","0,0301","36,3711"
"","5","TOT-none-none","totalizer","none","none","200","137","13","50","0","68,5","56,8681","50,707","2306,9547","56,7249","18680,5109","269351,0511","4200,6058","737,2555","743,8686","6,562","0,0511","35,8465"
"","6","TOT-none-ss","totalizer","none","slot-service","200","137","13","50","0","68,5","58,6411","50,7794","2308,1691","58,4929","19032,1898","271838,8248","4200,2628","737,6131","743,9416","6,2993","0,0292","35,7062"
"","7","TOT-both-none","totalizer","both","none","200","136","14","50","0","68","60,8735","51,6593","2345,394","60,7103","24949,8309","304700,8088","4205,0441","737,0662","743,3676","6,3015","0","36,2908"
"","8","TOT-both-ss","totalizer","both","slot-service","200","136","14","50","0","68","60,5156","54,1932","2345,1506","60,3512","24968,7353","304851,1324","4206,5147","737,3235","743,7868","6,4118","0,0515","35,9701"
