instance_sha256,backend,wc,wo,instance,slack_from,slack_to,overtime_reduction,similarity_change
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,0,1,0,20
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,1,2,0,9
b98e75059c523562fbab64282673d9ea225242fe21209b5e428aee89aa625edd,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1001_critical.txt,0,1,0,7
b98e75059c523562fbab64282673d9ea225242fe21209b5e428aee89aa625edd,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1001_critical.txt,1,2,0,2
bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,0,1,0,8
bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,1,2,0,2
cf5584e50c87aace73c609c7ad0a93612c40b8323ca8f8a5664aa14449736764,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1001_critical.txt,0,1,0,2
cf5584e50c87aace73c609c7ad0a93612c40b8323ca8f8a5664aa14449736764,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1001_critical.txt,1,2,0,1
d4d3d128eb54871902a41a24c690d5559af2a39138098ef2902d8f1e4d8089a8,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1001_critical.txt,0,1,0,3
d4d3d128eb54871902a41a24c690d5559af2a39138098ef2902d8f1e4d8089a8,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1001_critical.txt,1,2,0,1
